ChaFriend	ChaFlag	((1))
ChaLastInfo	ChaLevel	((0))
ChaLastInfo	ChaMoney	((0))
ChaLastInfo	ChaNum	((0))
ChaNameInfo	ChaName	('')
ChaNameInfo	ChaNum	((0))
GuildAlliance	GuNumP	((0))
GuildAlliance	GuNumS	((0))
GuildBattle	GuAlliance	((0))
GuildBattle	GuBattleEndDate	(getdate())
GuildBattle	GuBattleStartDate	(getdate())
GuildBattle	GuFlag	((0))
GuildBattle	GuKillNum	((0))
GuildBattle	GuPNum	((0))
GuildBattle	GuSNum	((0))
GuildInfo	ChaNum	((0))
GuildInfo	GuAllianceBattleDraw	((0))
GuildInfo	GuAllianceBattleLose	((0))
GuildInfo	GuAllianceBattleWin	((0))
GuildInfo	GuAllianceDis	('1970-02-01')
GuildInfo	GuAllianceSec	('1970-02-01')
GuildInfo	GuAuthorityTime	('1970-02-01')
GuildInfo	GuBattleDraw	((0))
GuildInfo	GuBattleLastTime	('1970-02-01')
GuildInfo	GuBattleLose	((0))
GuildInfo	GuBattleWin	((0))
GuildInfo	GuDeputy	((0))
GuildInfo	GuExpire	((0))
GuildInfo	GuExpireTime	('1970-02-01')
GuildInfo	GuIncomeMoney	((0))
GuildInfo	GuMakeTime	(getdate())
GuildInfo	GuMarkImage	('')
GuildInfo	GuMarkVer	((0))
GuildInfo	GuMoney	((0))
GuildInfo	GuName	('')
GuildInfo	GuNotice	('')
GuildInfo	GuRank	((0))
GuildInfo	GuStorage	('')
GuildRegion	GuNum	((0))
GuildRegion	RegionTax	((0.0))
ItemCustomize	AddBol	((0))
ItemCustomize	AddDate	((0))
ItemCustomize	AttackUpgrade	((0))
ItemCustomize	ChangeQuantity	((0))
ItemCustomize	DefenceUpgrade	((0))
ItemCustomize	EditBol	((0))
ItemCustomize	GfInfo	('0||0||0||0')
ItemCustomize	GmShuXing	('Null|Null||Null|Null||Null|Null||Null|Null')
ItemCustomize	GmType	('其它')
ItemCustomize	Point	((0))
PetInfo	PetCardMID	((0))
PetInfo	PetCardSID	((0))
PetInfo	PetChaNum	((0))
PetInfo	PetColor	((0))
PetInfo	PetCreateDate	(getdate())
PetInfo	PetDeleted	((0))
PetInfo	PetDeletedDate	(getdate())
PetInfo	PetFull	((1000))
PetInfo	PetMID	((0))
PetInfo	PetName	('')
PetInfo	PetNum	((0))
PetInfo	PetPutOnItems	('')
PetInfo	PetSID	((0))
PetInfo	PetStyle	((0))
PetInfo	PetType	((0))
PetInven	PetChaNum	('0')
PetInven	PetInvenAvailable	((0))
PetInven	PetInvenCMID	((0))
PetInven	PetInvenCSID	((0))
PetInven	PetInvenMID	((0))
PetInven	PetInvenSID	((0))
PetInven	PetInvenType	((0))
PetInven	PetInvenUpdateDate	(getdate())
PetInven	PetNum	((0))
UserInven	ChaStorage2	('1970-02-01')
UserInven	ChaStorage3	('1970-02-01')
UserInven	ChaStorage4	('1970-02-01')
UserLastInfo	UserNum	((0))
VehicleInfo	VehicleBattery	((1000))
VehicleInfo	VehicleCardMID	((0))
VehicleInfo	VehicleCardSID	((0))
VehicleInfo	VehicleChaNum	((0))
VehicleInfo	VehicleCreateDate	(getdate())
VehicleInfo	VehicleDeleted	((0))
VehicleInfo	VehicleDeletedDate	(getdate())
VehicleInfo	VehicleName	('')
VehicleInfo	VehicleNum	((0))
VehicleInfo	VehiclePutOnItems	('')
VehicleInfo	VehicleType	((0))
